"VERSION","FILE_NAME","LOC","LOC_TOUCHED","NUMBER_OF_REVISIONS","LOC_ADDED","AVG_LOC_ADDED","NUMBER_OF_AUTHORS","MAX_LOC_ADDED","TOTAL_LOC_REMOVED","MAX_LOC_REMOVED","AVG_LOC_TOUCHED","BUGGY"
"1","hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java","12","55","2","51","25.5","2","47","4","4","27","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java","372","223","4","203","50.75","3","185","20","16","55","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java","26","49","1","49","49.0","1","49","0","0","49","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/util/Either.java","24","50","1","50","50.0","1","50","0","0","50","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java","121","102","2","100","50.0","2","97","2","2","51","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java","72","138","1","138","138.0","1","138","0","0","138","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/util/Option.java","18","43","1","43","43.0","1","43","0","0","43","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java","18","42","1","42","42.0","1","42","0","0","42","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java","29","56","1","56","56.0","1","56","0","0","56","true"
"1","hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java","30","53","2","52","26.0","2","51","1","1","26","false"
"1","hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java","18","41","1","41","41.0","1","41","0","0","41","false"
"1","hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java","144","118","2","111","55.5","2","104","7","7","59","false"
"1","hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java","29","54","1","54","54.0","1","54","0","0","54","false"
"1","hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java","228","164","2","163","81.5","2","162","1","1","82","true"
"1","hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java","11130","18077","2","12222","6111.0","2","6127","5855","5855","9038","true"
"1","hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java","180","157","2","155","77.5","2","153","2","2","78","false"
