"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","IBk","9","BEST_FIRST","OVER_SAMPLING","NONE","0,33333","0,0122","0,47037","0,01579","0,14286","1.0","2.0","652.0","81.0","90,40542"
"SYNCOPE","RandomForest","9","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,5","0,0122","0,49027","0,0186","0,125","1.0","1.0","653.0","81.0","90,40542"
"SYNCOPE","NaiveBayes","9","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,53728","0","0,125","0.0","0.0","654.0","82.0","90,40542"
"SYNCOPE","IBk","9","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,5","0,0122","0,47174","0,0186","0,14286","1.0","1.0","653.0","81.0","90,40542"
"SYNCOPE","RandomForest","10","NONE","NO_SAMPLING","NONE","0","0","0,50828","-0,00269","0,5","0.0","1.0","656.0","79.0","91,24539"
"SYNCOPE","NaiveBayes","10","NONE","NO_SAMPLING","NONE","1","0,01266","0,52213","0,02238","0,22222","1.0","0.0","657.0","78.0","91,24539"
"SYNCOPE","IBk","10","NONE","NO_SAMPLING","NONE","0,15385","0,02532","0,48756","0,01356","0,125","2.0","11.0","646.0","77.0","91,24539"
"SYNCOPE","RandomForest","10","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,51647","-0,00269","0,375","0.0","1.0","656.0","79.0","91,24539"
"SYNCOPE","NaiveBayes","10","BEST_FIRST","NO_SAMPLING","NONE","1","0,01266","0,52441","0,02238","0,25","1.0","0.0","657.0","78.0","91,24539"
"SYNCOPE","IBk","10","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,47147","-0,01294","0,375","0.0","5.0","652.0","79.0","91,24539"
"SYNCOPE","RandomForest","10","BEST_FIRST","UNDER_SAMPLING","NONE","0,2","0,08861","0,51825","0,06091","0,5","7.0","28.0","629.0","72.0","91,24539"
"SYNCOPE","NaiveBayes","10","BEST_FIRST","UNDER_SAMPLING","NONE","0,5","0,01266","0,51827","0,01949","0,375","1.0","1.0","656.0","78.0","91,24539"
